sample_index,true_label,true_class,majority_vote_label,majority_vote_class,majority_vote_correct,mean_probability_label,mean_probability_class,mean_probability_correct,strategies_agree,efficientnet_b0_label,efficientnet_b0_class,efficientnet_b0_confidence,resnet50_label,resnet50_class,resnet50_confidence,convnext_tiny_label,convnext_tiny_class,convnext_tiny_confidence,vit_b_16_label,vit_b_16_class,vit_b_16_confidence,vmamba_label,vmamba_class,vmamba_confidence,cnn_shallow_label,cnn_shallow_class,cnn_shallow_confidence
0,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9945249557495117,0,galaxy,0.9969931840896606,0,galaxy,0.9667026996612549,0,galaxy,0.8192430138587952,0,galaxy,0.976209819316864,0,galaxy,0.4922221899032593
1,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.995768666267395,0,galaxy,0.9963691234588623,0,galaxy,0.9866067171096802,0,galaxy,0.9747606515884399,0,galaxy,0.9802219271659851,0,galaxy,0.7029948234558105
2,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9971994161605835,0,galaxy,0.9688225388526917,0,galaxy,0.9794930815696716,0,galaxy,0.96698397397995,0,galaxy,0.9584682583808899,0,galaxy,0.6738582253456116
3,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9953403472900391,0,galaxy,0.9993995428085327,0,galaxy,0.991344690322876,0,galaxy,0.9690176844596863,0,galaxy,0.9688702821731567,0,galaxy,0.9582269191741943
4,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9973341226577759,0,galaxy,0.9982019662857056,0,galaxy,0.9895290732383728,0,galaxy,0.9763830900192261,0,galaxy,0.99062180519104,0,galaxy,0.9288309812545776
5,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9381792545318604,0,galaxy,0.9866083860397339,0,galaxy,0.9159111976623535,0,galaxy,0.8836215138435364,0,galaxy,0.8741698265075684,0,galaxy,0.4549313187599182
6,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9984434247016907,0,galaxy,0.989554762840271,0,galaxy,0.986792802810669,0,galaxy,0.9753053188323975,0,galaxy,0.9730225205421448,0,galaxy,0.7170547246932983
7,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9780786633491516,0,galaxy,0.9820200800895691,0,galaxy,0.8808696269989014,0,galaxy,0.6714895963668823,0,galaxy,0.8873094916343689,1,quasar,0.3917284607887268
8,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9849677681922913,0,galaxy,0.990565299987793,0,galaxy,0.9499238133430481,0,galaxy,0.5492530465126038,0,galaxy,0.6975025534629822,0,galaxy,0.392809122800827
9,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9995181560516357,0,galaxy,0.9797762632369995,0,galaxy,0.9808732867240906,0,galaxy,0.9687475562095642,0,galaxy,0.9724986553192139,2,star,0.5523265600204468
10,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.997317373752594,0,galaxy,0.9881318807601929,0,galaxy,0.9867897629737854,0,galaxy,0.9280573129653931,0,galaxy,0.9845007658004761,0,galaxy,0.8397684097290039
11,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9969480633735657,0,galaxy,0.9938595294952393,0,galaxy,0.8769403696060181,0,galaxy,0.6837499141693115,0,galaxy,0.9080274105072021,0,galaxy,0.5663600564002991
12,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9984379410743713,0,galaxy,0.938206136226654,0,galaxy,0.5157212018966675,0,galaxy,0.6995933055877686,0,galaxy,0.7360865473747253,0,galaxy,0.4394422471523285
13,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9949917197227478,0,galaxy,0.9576598405838013,0,galaxy,0.9738338589668274,0,galaxy,0.9073721170425415,0,galaxy,0.9792701005935669,2,star,0.5787919759750366
14,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9813636541366577,0,galaxy,0.9996678829193115,0,galaxy,0.9849256873130798,0,galaxy,0.942568302154541,0,galaxy,0.9828711748123169,0,galaxy,0.7616609930992126
15,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.999011754989624,0,galaxy,0.9977193474769592,0,galaxy,0.9768585562705994,0,galaxy,0.9391677975654602,0,galaxy,0.985345184803009,0,galaxy,0.7454860806465149
16,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9109779000282288,0,galaxy,0.9978596568107605,0,galaxy,0.9584379196166992,0,galaxy,0.6644073724746704,0,galaxy,0.9760106801986694,2,star,0.6918194890022278
17,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.8931680917739868,0,galaxy,0.9955272078514099,0,galaxy,0.9470483660697937,0,galaxy,0.6445721983909607,0,galaxy,0.9310988783836365,0,galaxy,0.39971622824668884
18,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9878645539283752,0,galaxy,0.998365581035614,0,galaxy,0.977167546749115,0,galaxy,0.9737817645072937,0,galaxy,0.9846159815788269,0,galaxy,0.6872271299362183
19,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9983695149421692,0,galaxy,0.993926465511322,0,galaxy,0.9747471809387207,0,galaxy,0.9508036971092224,0,galaxy,0.9647121429443359,0,galaxy,0.6110146641731262
20,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9994811415672302,0,galaxy,0.9966779947280884,0,galaxy,0.9777966141700745,0,galaxy,0.9701024889945984,0,galaxy,0.9733281135559082,2,star,0.5741578340530396
21,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.991907000541687,0,galaxy,0.9989448189735413,0,galaxy,0.9809811115264893,0,galaxy,0.9487636685371399,0,galaxy,0.8749489188194275,0,galaxy,0.4558696150779724
22,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9716367125511169,0,galaxy,0.9971083998680115,0,galaxy,0.9618743062019348,0,galaxy,0.8748664259910583,0,galaxy,0.9694515466690063,0,galaxy,0.8969743251800537
23,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9939138293266296,0,galaxy,0.9975097179412842,0,galaxy,0.9791632294654846,0,galaxy,0.9236515760421753,0,galaxy,0.9865483641624451,0,galaxy,0.6856563687324524
24,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9667002558708191,0,galaxy,0.9994698166847229,0,galaxy,0.9875089526176453,0,galaxy,0.9697376489639282,0,galaxy,0.9854148626327515,0,galaxy,0.6477107405662537
25,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9996414184570312,0,galaxy,0.999866247177124,0,galaxy,0.9844567179679871,0,galaxy,0.9636111259460449,0,galaxy,0.988362729549408,0,galaxy,0.793060839176178
26,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9998868703842163,0,galaxy,0.9994120597839355,0,galaxy,0.9860286116600037,0,galaxy,0.967172384262085,0,galaxy,0.9793293476104736,0,galaxy,0.9092172980308533
