sample_index,true_label,true_class,majority_vote_label,majority_vote_class,majority_vote_correct,mean_probability_label,mean_probability_class,mean_probability_correct,strategies_agree,efficientnet_b0_label,efficientnet_b0_class,efficientnet_b0_confidence,resnet50_label,resnet50_class,resnet50_confidence,convnext_tiny_label,convnext_tiny_class,convnext_tiny_confidence,vit_b_16_label,vit_b_16_class,vit_b_16_confidence,vmamba_label,vmamba_class,vmamba_confidence,cnn_shallow_label,cnn_shallow_class,cnn_shallow_confidence
0,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9917978048324585,0,galaxy,0.962864339351654,0,galaxy,0.9729987978935242,0,galaxy,0.9395562410354614,0,galaxy,0.3580492436885834,0,galaxy,0.5162391662597656
1,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9895625710487366,0,galaxy,0.9695690870285034,0,galaxy,0.9718047380447388,0,galaxy,0.9859271049499512,0,galaxy,0.35805216431617737,0,galaxy,0.6503291726112366
2,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9329224228858948,0,galaxy,0.7835065126419067,0,galaxy,0.9865706562995911,0,galaxy,0.9893180727958679,0,galaxy,0.3580486476421356,0,galaxy,0.7054749727249146
3,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9858405590057373,0,galaxy,0.9999558925628662,0,galaxy,0.9884338974952698,0,galaxy,0.9834989905357361,0,galaxy,0.3580504059791565,0,galaxy,0.9787275195121765
4,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9904038906097412,0,galaxy,0.9979331493377686,0,galaxy,0.9850258231163025,0,galaxy,0.9909619688987732,0,galaxy,0.3580436408519745,0,galaxy,0.9614430665969849
5,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9311047196388245,0,galaxy,0.9308779835700989,0,galaxy,0.9615862369537354,0,galaxy,0.8395411372184753,0,galaxy,0.3580494523048401,0,galaxy,0.49518901109695435
6,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.989548921585083,0,galaxy,0.9968181848526001,0,galaxy,0.9859809875488281,0,galaxy,0.9888041615486145,0,galaxy,0.35805124044418335,0,galaxy,0.7362948656082153
7,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9385513663291931,0,galaxy,0.9470856785774231,0,galaxy,0.9581832885742188,0,galaxy,0.44665563106536865,0,galaxy,0.3580494821071625,1,quasar,0.3900284171104431
8,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9505918622016907,0,galaxy,0.9693478941917419,0,galaxy,0.9685127139091492,0,galaxy,0.8415013551712036,0,galaxy,0.3580460846424103,0,galaxy,0.44857320189476013
9,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9860644340515137,0,galaxy,0.9728615880012512,0,galaxy,0.9759568572044373,0,galaxy,0.9666024446487427,0,galaxy,0.35804954171180725,2,star,0.4558471143245697
10,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9847087860107422,0,galaxy,0.9964994192123413,0,galaxy,0.9847961664199829,0,galaxy,0.9793844223022461,0,galaxy,0.35804983973503113,0,galaxy,0.7920141220092773
