spectral_parent_label,spectral_leaf_label,count,percentage,is_rare
F,F9,15,12.5,False
F,F5,13,10.833333333333334,False
M,M5,7,5.833333333333333,False
K,K3,6,5.0,False
G,G2,5,4.166666666666666,True
A,A0,5,4.166666666666666,True
F,F2,5,4.166666666666666,True
K,K5,5,4.166666666666666,True
M,M2,5,4.166666666666666,True
F,F3,5,4.166666666666666,True
G,G0,4,3.3333333333333335,True
F,F8,3,2.5,True
M,M1,3,2.5,True
K,K1,3,2.5,True
M,M0,3,2.5,True
WD,WD,3,2.5,True
M,M4,3,2.5,True
A,A8,3,2.5,True
L,L5.5,2,1.6666666666666667,True
K,K7,2,1.6666666666666667,True
K,K0,2,1.6666666666666667,True
A,A6,1,0.8333333333333334,True
CARBON,CARBON,1,0.8333333333333334,True
F,F0,1,0.8333333333333334,True
L,L1,1,0.8333333333333334,True
M,M7,1,0.8333333333333334,True
G,G5,1,0.8333333333333334,True
A,A9,1,0.8333333333333334,True
A,A4,1,0.8333333333333334,True
G,G1,1,0.8333333333333334,True
M,M4.5,1,0.8333333333333334,True
K,K4,1,0.8333333333333334,True
T,T2,1,0.8333333333333334,True
M,M3,1,0.8333333333333334,True
G,G4,1,0.8333333333333334,True
OB,OB,1,0.8333333333333334,True
G,G8,1,0.8333333333333334,True
L,L9,1,0.8333333333333334,True
CV,CV,1,0.8333333333333334,True
