spectral_parent_label,spectral_leaf_label,count,percentage,is_rare
A,A0,1120,11.21121121121121,False
F,F9,1013,10.14014014014014,False
F,F5,974,9.74974974974975,False
K,K5,709,7.097097097097096,False
K,K3,642,6.426426426426427,False
F,F3,528,5.285285285285285,False
K,K1,356,3.563563563563563,False
M,M3,318,3.183183183183183,False
G,G2,288,2.8828828828828827,False
K,K0,281,2.8128128128128127,False
M,M4,276,2.7627627627627627,False
M,M2,262,2.6226226226226226,False
M,M1,248,2.4824824824824825,False
G,G0,243,2.4324324324324325,False
F,F2,239,2.3923923923923924,False
F,F0,216,2.1621621621621623,False
M,M5,202,2.022022022022022,False
WD,WD,197,1.9719719719719717,False
M,M0,175,1.7517517517517518,False
G,G8,173,1.7317317317317318,False
F,F8,167,1.6716716716716717,False
K,K7,162,1.6216216216216217,False
A,A4,133,1.3313313313313313,False
G,G4,106,1.0610610610610611,False
A,A1,71,0.7107107107107107,False
A,A2,64,0.6406406406406406,False
F,F6,62,0.6206206206206206,False
M,M6,59,0.5905905905905906,False
M,M4.5,57,0.5705705705705706,False
CV,CV,51,0.5105105105105104,False
G,G5,50,0.5005005005005005,False
A,A9,38,0.38038038038038036,False
B,B5,34,0.34034034034034033,False
K,K4,34,0.34034034034034033,False
G,G1,34,0.34034034034034033,False
G,G9,34,0.34034034034034033,False
A,A6,29,0.2902902902902903,False
B,B9,28,0.28028028028028024,False
A,A8,27,0.2702702702702703,False
A,A5,23,0.2302302302302302,False
M,M8,23,0.2302302302302302,False
M,M7,22,0.22022022022022023,False
T,T2,22,0.22022022022022023,False
OB,OB,21,0.21021021021021022,False
CARBON,CARBON,19,0.19019019019019018,False
L,L9,18,0.18018018018018017,False
G,G3,14,0.14014014014014012,False
L,L5.5,14,0.14014014014014012,False
K,K2,13,0.13013013013013014,False
B,B8,13,0.13013013013013014,False
M,M9,11,0.11011011011011011,False
B,B3,10,0.10010010010010009,False
B,B6,10,0.10010010010010009,False
O,O8,9,0.09009009009009009,False
B,B2,8,0.08008008008008008,False
B,B1,5,0.050050050050050046,True
L,L,5,0.050050050050050046,True
B,B9.5,5,0.050050050050050046,True
O,O,4,0.04004004004004004,True
L,L4,3,0.03003003003003003,True
L,L1,3,0.03003003003003003,True
G,G0.5,3,0.03003003003003003,True
B,B2.5,2,0.02002002002002002,True
A,A,2,0.02002002002002002,True
B,B7,2,0.02002002002002002,True
L,L5,2,0.02002002002002002,True
L,L0,1,0.01001001001001001,True
L,L3,1,0.01001001001001001,True
L,L2,1,0.01001001001001001,True
B,B0.5,1,0.01001001001001001,True
