star_id,objID,specObjID,object_dir,spectrum_path,spectrum_metadata_path,target_path,spectral_subclass_raw,spectral_parent_label,spectral_leaf_label,input_pixels,valid_pixels,nan_fraction,coverage_fraction,wavelength_min,wavelength_max,split
STAR_000001,1237648702974918816,1024724536001587200,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000001,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1024724536001587200.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1024724536001587200.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000001\Target\target.json,WD,WD,WD,3830,3824,0.0,0.9970318495076147,3814.168873017869,9198.140860358988,validation
STAR_000002,1237648702975116185,1025818276015400960,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000002,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1025818276015400960.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1025818276015400960.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000002\Target\target.json,M3,M,M3,3831,3823,0.0,0.9968689719302091,3815.048411935859,9198.140860358988,train
STAR_000003,1237648702975770684,1026943076427393024,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000003,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1026943076427393024.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1026943076427393024.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000003\Target\target.json,F5,F,F5,3839,3831,0.0,0.9981693930821489,3808.0261377153843,9198.140860358988,train
STAR_000004,1237648702977409066,1029183886057302016,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000004,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1029183886057302016.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1029183886057302016.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000004\Target\target.json,F5,F,F5,3846,3836,0.0,0.9989807471492215,3803.644825753192,9198.140860358988,train
STAR_000005,1237648702977409365,1029184985568929792,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000005,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1029184985568929792.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1029184985568929792.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000005\Target\target.json,M6,M,M6,3844,3836,0.0,0.9989807471492215,3803.644825753192,9198.140860358988,train
STAR_000006,1237648702977474642,1029195980685207552,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000006,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1029195980685207552.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1029195980685207552.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000006\Target\target.json,G2,G,G2,3848,3840,0.0,0.999629312764019,3800.142571433285,9198.140860358988,train
STAR_000007,1237648702978457962,1030324624707053568,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000007,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1030324624707053568.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1030324624707053568.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000007\Target\target.json,M6,M,M6,3842,3834,0.0,0.9986562402292165,3805.397163121219,9198.140860358988,validation
STAR_000008,1237648702978588829,1030343866160539648,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000008,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1030343866160539648.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1030343866160539648.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000008\Target\target.json,A0,A,A0,3837,3832,0.0,0.9983315838090273,3807.1503077902407,9198.140860358988,test
STAR_000009,1237648702978523167,1030344965672167424,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000009,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1030344965672167424.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1030344965672167424.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000009\Target\target.json,F5,F,F5,3836,3831,0.0,0.9981693930821489,3808.0261377153843,9198.140860358988,train
STAR_000010,1237648702978719780,1030354036643096576,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000010,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1030354036643096576.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1030354036643096576.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000010\Target\target.json,F5,F,F5,3830,3826,0.0,0.9973571044390466,3812.412496388137,9198.140860358988,test
STAR_000011,1237648702978916752,1031412865250125824,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000011,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1031412865250125824.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1031412865250125824.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000011\Target\target.json,A0,A,A0,3819,3811,0.0,0.9949142313607697,3825.6040110108315,9198.140860358988,train
STAR_000012,1237648702978981903,1031413964761753600,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000012,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1031413964761753600.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1031413964761753600.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000012\Target\target.json,F9,F,F9,3820,3812,0.0,0.995077170761093,3824.7241382490856,9198.140860358988,validation
