star_id,objID,specObjID,object_dir,spectrum_path,spectrum_metadata_path,target_path,spectral_subclass_raw,spectral_parent_label,spectral_leaf_label,input_pixels,valid_pixels,nan_fraction,coverage_fraction,wavelength_min,wavelength_max,split
STAR_003126,1237648702968889406,3287664913035585536,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_003126,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\3287664913035585536.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\3287664913035585536.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_003126\Target\target.json,F2,F,F2,3819,3819,0.0,0.9936976462454351,3808.9042601321803,9174.87154985753,train
STAR_001442,1237646381543063904,1417642722063312896,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_001442,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1417642722063312896.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1417642722063312896.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_001442\Target\target.json,A0,A,A0,3844,3840,0.0,0.999629312764019,3800.142571433285,9198.140860358988,train
STAR_004511,1237648703503597690,364795446058575872,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004511,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\364795446058575872.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\364795446058575872.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004511\Target\target.json,M0,M,M0,3827,3826,0.0,0.9973571044390466,3812.412496388137,9198.140860358988,train
STAR_000040,1237648702983570193,1035993156367181824,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000040,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1035993156367181824.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1035993156367181824.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000040\Target\target.json,Carbon_lines,CARBON,CARBON,3826,3826,0.0,0.9962095984991642,3808.0261377153843,9187.55796961087,test
STAR_004510,1237648703503597733,364795171180668928,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004510,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\364795171180668928.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\364795171180668928.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004510\Target\target.json,F5,F,F5,3827,3826,0.0,0.9973571044390466,3812.412496388137,9198.140860358988,train
STAR_001600,1237645943979049605,1721595839597537280,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_001600,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1721595839597537280.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1721595839597537280.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_001600\Target\target.json,L5.5,L,L5.5,3829,3821,0.0,0.9965434921163618,3816.8060029306343,9198.140860358988,train
STAR_007364,1237648703512183640,4555474954884503552,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_007364,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\4555474954884503552.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\4555474954884503552.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_007364\Target\target.json,A6IV (28527),A,A6,4635,3840,0.0,0.999629312764019,3800.142571433285,9198.140860358988,train
STAR_009952,1237646587169669798,897499219005302784,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_009952,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\897499219005302784.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\897499219005302784.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_009952\Target\target.json,F5,F,F5,3830,3827,0.0,0.9975194819888815,3811.5356576190284,9198.140860358988,train
STAR_000501,1237646586639614621,1404004100693059584,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000501,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1404004100693059584.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1404004100693059584.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000501\Target\target.json,M5,M,M5,3840,3837,0.0,0.9991427512680918,3802.7700035112916,9198.140860358988,train
STAR_004848,1237648703510675490,3723387084317237248,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004848,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\3723387084317237248.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\3723387084317237248.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004848\Target\target.json,G2,G,G2,3834,3834,0.0,0.997736714802509,3801.8932953144076,9189.671555247956,train
STAR_004569,1237648704040206533,364834478721361920,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004569,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\364834478721361920.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\364834478721361920.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004569\Target\target.json,K3,K,K3,3845,3839,0.0,0.9992366124000388,3800.142571433285,9196.020278393495,train
STAR_002759,1237648703509692463,3266272816315525120,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_002759,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\3266272816315525120.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\3266272816315525120.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_002759\Target\target.json,G2,G,G2,3828,3828,0.0,0.996763193973651,3807.1503077902407,9189.671555247956,train
STAR_006221,1237648705115586830,4331581676713170944,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_006221,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\4331581676713170944.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\4331581676713170944.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_006221\Target\target.json,A9V (154660),A,A9,4624,3840,0.0,0.999629312764019,3800.142571433285,9198.140860358988,test
STAR_007730,1237646586638566390,8170772833649317888,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_007730,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\8170772833649317888.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\8170772833649317888.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_007730\Target\target.json,F8V (G_243-63),F,F8,4624,3840,0.0,0.999629312764019,3800.142571433285,9198.140860358988,validation
STAR_000714,1237646647841391301,1404147586960484352,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000714,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1404147586960484352.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1404147586960484352.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000714\Target\target.json,M4,M,M4,3839,3838,0.0,0.9993051046378852,3801.8932953144076,9198.140860358988,train
